,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
96,Rockies,Schweitzer,ID,4000,6400,56.6,54.4,64,37,4,284, 97, 75,10.4,19.5,48.367897,-116.623331,2900 ,92,10583 ,9,12502  ,3,0
97,Canadian-Rockies,Silver Star,BC,3780,6280,46.2,54.1,93,14,14,223, 99, 122,0.0,28.7,50.369252,-119.063225,3065 ,115,26400 ,12,14000  ,0,0
98,Canadian-Rockies,Sun Peaks,BC,4166,7060,41.2,54.1,100,15,15,207, 98, 144,0.5,40.8,50.886162,-119.886915,3678 ,122,26400 ,12,12000  ,0,0
99,Northwest,Bluewood,WA,4545,5670,53.2,54.0,110,16,7,275, 100, 88,8.0,25.0,46.168597,-117.813824,430 ,24,11880 ,3,3950  ,0,0
100,Sierras,Homewood,CA,6230,7880,61.0,53.9,87,10,9,350, 101, 56,32.0,30.0,39.086004,-120.160392,1260 ,60,10560 ,8,8500  ,2,0
101,Northwest,Snoqualmie,WA,3140,5420,71.3,53.8,58,8,4,387, 103, 25,36.5,13.4,47.409619,-121.41147,1981 ,96,7920 ,25,34490  ,2,1
102,Sierras,Northstar,CA,6330,8610,54.3,53.8,42,5,5,316, 102, 82,25.9,35.8,39.275271,-120.120653,3170 ,97,7845 ,20,32500  ,9,1
103,Northwest,Hoodoo,OR,4668,5703,66.6,53.7,114,17,7,375, 104, 37,25.0,15.0,44.4079976411521,-121.87302,800 ,32,15840 ,5,  ,0,0
104,Rockies,Tamarack,ID,4900,7700,54.3,53.5,57,35,2,275, 105, 83,8.0,25.0,44.670393,-116.124165,900 ,32,7938 ,5,  ,2,0
105,Northwest,Mt Ashland,OR,6350,7500,53.2,53.4,129,18,8,285, 106, 89,9.0,22.0,42.083333,-122.70836,200 ,23,5280 ,4,  ,2,0
106,Rockies,Kelly Canyon,ID,5600,6600,41.0,53.3,158,71,10,200, 107, 149,1.0,40.0,43.644864,-111.630882,640 ,26,6900 ,5,3400  ,1,0
