,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
205,East,Greek Peak,NY,1148,2100,32.7,21.8,201,32,6,110, 206, 187,0.0,75.0,42.508046,-76.139205,257 ,38,7920 ,9,  ,0,0
206,East,Bromley Mountain,VT,1950,3284,41.2,21.8,185,26,12,145, 207, 142,1.0,51.0,43.213746,-72.933322,300 ,46,13200 ,8,9904  ,4,0
207,Midwest,Crystal Mountain Mi,MI,757,1132,37.1,21.7,196,9,6,140, 209, 171,0.0,65.0,44.51975,-85.990637,80 ,48,2640 ,8,12400  ,4,0
208,East,Shawness Peak,ME,600,1900,33.1,21.7,199,31,4,110, 208, 185,0.0,75.0,44.059312,-70.815471,239 ,44,7920 ,5,7200  ,2,0
209,East,Cranmore Mountain,NH,500,2000,35.3,20.0,203,34,10,120, 210, 180,1.0,70.0,44.05578,-71.114613,200 ,54,5280 ,10,7500  ,3,0
210,East,Seven Springs,PA,2240,2994,31.5,19.9,215,39,1,105, 211, 191,0.0,77.0,40.028436,-79.282329,285 ,31,6600 ,13,24600  ,0,0
211,East,Gunstock,NH,867,2267,34.8,19.5,190,28,7,120, 212, 182,1.0,70.0,43.550508,-71.358887,227 ,55,7920 ,8,12400  ,3,0
212,East,Windham Mountain,NY,1500,3100,32.2,18.9,206,36,9,110, 213, 189,0.0,75.0,42.301563,-74.257649,269 ,49,12500 ,10,16450  ,5,0
213,Midwest,Afton Alps,MN,1180,1530,25.2,18.6,217,16,3,55, 214, 212,0.0,93.0,44.854834,-92.790767,300 ,48,3000 ,18,  ,0,0
214,East,Berkshire East,MA,660,1840,32.7,17.4,214,38,1,110, 215, 186,0.0,75.0,42.623428,-72.878927,400 ,45,13200 ,6,6200  ,3,0
215,East,Ragged Mounain,NH,1000,2250,31.0,17.2,198,30,9,100, 216, 194,0.0,80.0,43.504799,-71.842789,220 ,47,9240 ,5,4420  ,2,0
216,Midwest,Pine Mountain,MI,1150,1650,26.5,17.1,220,18,10,75, 217, 211,0.0,93.0,45.839668,-88.088447,340 ,27,5280 ,3,3000  ,2,0
217,East,Mount Sunapee,NH,1233,2743,31.0,17.1,194,29,8,100, 218, 193,0.0,80.0,43.343282,-72.070917,233 ,66,10560 ,11,8550  ,5,0
218,East,Bousquet,MA,1125,1875,28.8,13.8,218,40,2,83, 219, 199,0.0,85.0,42.4176664,-73.2777354,200 ,23,5280 ,5,  ,0,0
219,Midwest,Devil's Head,WI,495,995,26.9,11.1,219,17,3,70, 220, 207,0.0,90.0,43.405297,-89.630783,300 ,30,3500 ,12,16500  ,1,0
